ID,Desc
1,mist
2,broken clouds
3,sky is clear
4,light rain
5,few clouds
6,fog
7,overcast clouds
8,light intensity shower rain
9,moderate rain
10,light intensity drizzle
11,scattered clouds
12,proximity shower rain
13,heavy intensity rain
14,heavy snow
15,shower rain
16,snow
17,heavy shower snow
18,light intensity drizzle rain
19,light snow
20,very heavy rain
21,smoke
22,thunderstorm with heavy rain
23,light shower snow
24,thunderstorm
25,thunderstorm with light rain
26,haze
27,dust
28,volcanic ash
29,heavy intensity shower rain
30,thunderstorm with rain
31,sleet
32,light rain and snow
33,drizzle
34,shower snow
35,light shower sleet
36,proximity thunderstorm
37,ragged thunderstorm
38,freezing rain
39,squalls
40,heavy intensity drizzle
41,proximity thunderstorm with rain
42,proximity moderate rain
43,sand
44,sand/dust whirls
45,proximity thunderstorm with drizzle
46,thunderstorm with drizzle
47,proximity sand/dust whirls
48,thunderstorm with light drizzle
49,thunderstorm with heavy drizzle
50,tornado
51,shower drizzle
52,heavy thunderstorm
53,rain and snow
54,ragged shower rain
